,smiles,paragraphText,namerxndef,yield,product,reactant,agent,solvent,product_name,reactant_name,agent_name,solvent_name
0,[OH:1][CH2:2][CH:3]1[CH2:4][O:5]1.Br[CH2:6][CH2:7][CH2:8][CH2:9][Br:10]>CN(C)C=O.O[Na]>[Br:10][CH2:9][CH2:8][CH2:7][CH2:6][O:1][CH2:2][CH:3]1[CH2:4][O:5]1,"Added to 150 ml of N,N-dimethylformamide were 11.4 g of glycidol and 81.0 g of 1,4-dibromobutane, followed by an addition with stirring of 7.8 g of flaky sodium hydroxide which had in advance been ground in a mortar. They were reacted at 25-30°C for 6 hours. After proceeded with the reaction for the predetermined period of time, insoluble matter was filtered off from the liquid reaction mixture and the solvent and unreacted raw materials were distilled off from the filtrate. The liquid residue was extracted with benzene-water, thereby obtaining the intended product in the benzene layer. The benzene was then distilled off from the benzene layer and the liquid residue was distilled under reduced pressure to obtain 24.5 g of 1-bromo-4-glycidoxybutane having a boiling point of 78-79°C/2.0 mmHg (yield: 78%). Its elementary analysis data(%) were as follows: Calculated: C, 40.20; H, 6.27; Br, 38.21. Found: C, 40.29; H, 6.07; Br 37.59.",Williamson ether synthesis,[78.0],['BrCCCCOCC1CO1'],"['BrCCCCBr', 'OCC1CO1']",['O[Na]'],['CN(C)C=O'],['1-bromo-4-glycidoxybutane'],"['glycidol', '1,4-dibromobutane']",['sodium hydroxide'],"['N,N-dimethylformamide']"
1,[CH2:1]=[C:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([cH:8][cH:9]1)[Cl:10]>CCO.O=[Pt]=O.[H][H]>[CH3:3][CH:2]([CH3:1])[c:4]1[cH:5][cH:6][c:7]([cH:8][cH:9]1)[Cl:10],"A mixture of p-chloro-a-methylstyrene (15.7 g, 204 mmole), 20 milligrams (mg) platinum oxide, and 20 ml absolute ethanol was shaken on a Paar Hydrogenator for about 8 hours, beginning with an initial hydrogen pressure of 42 pounds-per-square-inch (psi). During this procedure, an additional 14 psi of hydrogen were added to the Hydrogenator reservoir. The mixture was then filtered and the solvent removed by careful distillation at atmospheric pressure. The residual material resulting was distilled using a water aspirator vacuum to yield 12.69 g (74% yield) of p-chlorocumene (bp 69-74°C).",Alkene hydrogenation,[74.0],['CC(C)c1ccc(Cl)cc1'],['C=C(C)c1ccc(Cl)cc1'],"['O=[Pt]=O', '[H][H]', '[H][H]']",['CCO'],['p-chlorocumene'],['p-chloro-a-methylstyrene'],"['hydrogen', 'hydrogen', 'platinum oxide']",['ethanol']
2,[CH3:1][CH:2]([CH2:3]Cl)[N:4]([CH3:5])[CH3:6].[Br:7][c:8]1[cH:9][cH:10][c:11]2[S:12][c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]3[NH:19][c:20]2[cH:21]1>CCOC(C)=O.Cc1ccccc1C.CC(C)(C)O[K]>[CH3:5][N:4]([CH3:6])[CH:2]([CH3:1])[CH2:3][N:19]1[c:18]2[cH:17][cH:16][cH:15][cH:14][c:13]2[S:12][c:11]2[cH:10][cH:9][c:8]([cH:21][c:20]21)[Br:7],"2-Bromophenothiazine (5.0 g) and potassium t-butoxide (2.4 g) were combined in 25 ml dry xylene and stirred under nitrogen and heated at 65°C for 10 minutes. To this was added a solution of 2-dimethylaminopropyl choride (2.8 g) in xylene (2 ml) dropwise over 10 minutes. Stirring under nitrogen and heating at 60-70° were continued for 3 hours. The reaction was poured into ethyl acetate (100 ml) and extracted with dilute HCI. The acid extract was basified with excess aqueous ammonia and extracted with CH2CI2, which was dried (MgS04) and evaporated, leaving a viscous oil (6.35 g). The oil was a mixture of the title compound and its isomer 2-Bromo-10-(2-dimethy)amino-1-methyiethyi)phenothiazine, from which it was separated as a viscous colourless oil by preparative HPLC on a silica column, eluting with EtOAc/CH2CI2 (4: 1).",Chloro N-alkylation,[97.2732],['CC(CN1c2ccccc2Sc2ccc(Br)cc21)N(C)C'],"['Brc1ccc2c(c1)Nc1ccccc1S2', 'CC(CCl)N(C)C']",['CC(C)(C)O[K]'],"['CCOC(C)=O', 'Cc1ccccc1C', 'Cc1ccccc1C']",['2-Bromo-10-(2-dimethylaminopropyl)phenothiazine'],"['2-Bromophenothiazine', '2-dimethylaminopropyl choride']",['potassium t-butoxide'],"['ethyl acetate', 'xylene', 'xylene']"
3,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8]/[CH:9]=[CH:10]\[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][C:18](=[O:19])O.[CH3:20][CH:21]([CH3:22])[CH2:23][CH2:24][CH2:25][C@@H:26]([CH3:27])[C@H:28]1[CH2:29][CH2:30][C@@H:31]2[C@@:32]1([CH2:33][CH2:34][C@H:35]1[C@H:36]2[CH2:37][CH:38]=[C:39]2[C@@:40]1([CH2:41][CH2:42][C@@H:43]([CH2:44]2)[OH:45])[CH3:46])[CH3:47]>CCOCC.CC(C)CC(C)(C)C>[CH3:20][CH:21]([CH3:22])[CH2:23][CH2:24][CH2:25][C@@H:26]([CH3:27])[C@H:28]1[CH2:29][CH2:30][C@@H:31]2[C@@:32]1([CH2:33][CH2:34][C@H:35]1[C@H:36]2[CH2:37][CH:38]=[C:39]2[C@@:40]1([CH2:41][CH2:42][C@@H:43]([CH2:44]2)[O:45][C:18](=[O:19])[CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11]/[CH:10]=[CH:9]\[CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[CH3:46])[CH3:47],"A mixture of 10 g of cholesterol, 22 g of oleic acid, 50 ml of isooctane and 200 ml (50,000 U) of an aqueous solution of lipase MY was stirred at 200 rpm for 18 hours. Thereafter, ether was added and the mixture was washed with aqueous sodium bicarbonate to remove the aqueous layer. After several repetitions of this procedure, the ether layer was dried on anhydrous sodium sulfate. The ether was then distilled off to give cholesteryl oleate, which was a white semi-transparent crude product, in 96.3% purity and in a yield of 16.0 g (95.0%).",Esterification,[95.0116],['CCCCCCCC/C=C\\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1'],"['CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C', 'CCCCCCCC/C=C\\CCCCCCCC(=O)O']",['CCOCC'],['CC(C)CC(C)(C)C'],['cholesteryl oleate'],"['cholesterol', 'oleic acid']",['ether'],['isooctane']
4,[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([c:7]([s:8]1)[S:9][CH3:10])[C:11]#[N:12].O=C(O[OH:13])c1cccc(c1)Cl>O.O=C(O)O[Na].ClCCl>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([c:7]([s:8]1)[S:9]([CH3:10])=[O:13])[C:11]#[N:12],"5.0 g of 83% m-chloroperbenzoic acid are gradually added while stirring at a temperature of 0-5°C in 45 minutes to a solution of 5.0 g of 2-methylthio-3-cyano-5-acetylthiophene in 500 ml of methylene chloride. After stirring for another 30 minutes at 5°C, a saturated solution of sodium bicarbonate in approximately 50 ml of water is added; the reaction mixture is then stirred for 60 minutes. The organic layer is separated, washed with water and dried. After distilling off the solvent, the desired product is obtained in a yield of 4.6 g; melting-point 150°C.",Sulfanyl to sulfinyl,[85.1223],['CC(=O)c1cc(C#N)c(S(C)=O)s1'],"['CSc1sc(C(C)=O)cc1C#N', 'O=C(OO)c1cccc(Cl)c1']",['O=C(O)O[Na]'],"['ClCCl', 'O']",['2-methylsulphinyl-3-cyano-5-acetylthiophene'],"['m-chloroperbenzoic acid', '2-methylthio-3-cyano-5-acetylthiophene']",['sodium bicarbonate'],"['methylene chloride', 'water']"
5,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@@H:9]([CH2:10][c:11]1[cH:12][cH:13][c:14]([cH:15][cH:16]1)[O:17][CH:18]1[CH2:19][CH2:20][CH2:21][CH2:22]1)[C:23](=[O:24])O.[CH3:25][NH2:26]>C(=NC1CCCCC1)=NC1CCCCC1.On1nnc2ccccc21.ClCCl>[CH3:25][NH:26][C:23](=[O:24])[C@H:9]([CH2:10][c:11]1[cH:12][cH:13][c:14]([cH:15][cH:16]1)[O:17][CH:18]1[CH2:19][CH2:20][CH2:21][CH2:22]1)[NH:8][C:6](=[O:7])[O:5][C:2]([CH3:1])([CH3:3])[CH3:4],"To a cold (0°) solution of N-(Tertiarybutoxycarbonyl)-O-cyclopentyl-L-tyrosine (6.89 g, 20 mmol) in dichloromethane (40 ml) was added 1-hydroxybenzotriazole (3.32 g, 21 mmol) and dicyclohexylcarbodiimide (4.47 g, 21 mmol). After 20 minutes at 0° a solution of methylamine (1.34 g, 40 mmol) in dichloromethane (20 ml) was added and the reaction mixture was allowed to stir and warm to room temperature overnight. The reaction mixture after filtration and washing with water, dilute (1M) sodium hydroxide, 3N citric acid and water was dried and concentrated in vacuo to an oil. Recrystallisation from ethyl acetate/hexane gave the title compound as white crystals (1 g); m.p. 152-154; (Found: C, 66.77; H, 8.47; N, 7.83. C20H30N2O4 requires C, 66.27; H, 8.34; N, 7.73%); δ(CDCI3) 1.40 (9H, s, C(CH3)3); 1.5―2.0 (8H, CH-cyclopentyl); 2.72 (3H, d, J=5Hz, CONHCH3); 2.95 (2H, m, CH2Tyr); 4.22 (1H, dd, J=7 and 15Hz, a-CH); 4.72 (1 H, br, O-CH (cyclopentyl)); 5.07 (1 H, br, CONH); 5.75 (1 H, br, CONH); 6.78 (2H, d, J=8Hz, CsH4); 7.10 (2H, d, J=8Hz, C6H4).",Carboxylic acid + amine condensation,[13.8],['CNC(=O)[C@H](Cc1ccc(OC2CCCC2)cc1)NC(=O)OC(C)(C)C'],"['CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC2CCCC2)cc1)C(=O)O', 'CN']","['C(=NC1CCCCC1)=NC1CCCCC1', 'On1nnc2ccccc21']","['ClCCl', 'ClCCl']",['N-(Tertiarybutoxycarbonyl)-O-cyclopentyl-L-tyrosine N-Methylamide'],"['N-(Tertiarybutoxycarbonyl)-O-cyclopentyl-L-tyrosine', 'methylamine']","['1-hydroxybenzotriazole', 'dicyclohexylcarbodiimide']","['dichloromethane', 'dichloromethane']"
6,CC[O:1][C:2](=[O:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH:8]([C:9]1=[C:10]([C:11]([C:12](=[C:13]([C:14]1=[O:15])[CH3:16])[CH3:17])=[O:18])[CH3:19])[c:20]1[cH:21][cH:22][cH:23][s:24]1>CC(C)OC(C)C.C1CCOC1.Cl>[CH3:19][C:10]1[C:11]([C:12](=[C:13]([C:14]([C:9]=1[CH:8]([CH2:7][CH2:6][CH2:5][CH2:4][C:2](=[O:3])[OH:1])[c:20]1[cH:21][cH:22][cH:23][s:24]1)=[O:15])[CH3:16])[CH3:17])=[O:18],"6N Hydrochloric acid (10 ml) was added to a solution of ethyl 6-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-6-(2-thienyl)hexanoate (1.7 g, 4.5 mmole) in tetrahydrofuran (10 ml), followed by stirring for 17 hours with heating at 70°C. After cooling, isopropyl ether was added to the mixture, and the organic layer was washed twice with water, dried and concentrated under reduced pressure. The residue was chromatographed on a silica gel column, and elution was performed with isopropyl ether-ethyl acetate (1:1), followed by recrystallization from isopropyl ether to give 6-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-6-(2-thienyl)hexanoic acid (1.1 g, 70%).",CO2H-Et deprotection,[70.0],['CC1=C(C)C(=O)C(C(CCCCC(=O)O)c2cccs2)=C(C)C1=O'],['CCOC(=O)CCCCC(C1=C(C)C(=O)C(C)=C(C)C1=O)c1cccs1'],['CC(C)OC(C)C'],"['C1CCOC1', 'Cl']","['6-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-6-(2-thienyl)hexanoic acid']","['ethyl 6-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-6-(2-thienyl)hexanoate']",['isopropyl ether'],"['6N Hydrochloric acid', 'tetrahydrofuran']"
7,[CH3:1][O:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[CH3:9])Br)[O:10][CH3:11])[CH3:12])[CH3:13].Br[CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>Br[Cu].C1CCOC1>[CH3:1][O:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[CH3:9])[CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[O:10][CH3:11])[CH3:12])[CH3:13],"A 24.1 ml (38.6 mmole) portion of n-butyttithium-hexane solution was added dropwise to 10.0 g (38.6 mmole) of 1-bromo-2,5-dimethoxy-3,4,6-trimethylbenzene dissolved in anhydrous tetrahydrofuran (100 ml), under an atmosphere of argon at -40°C over the period of 10 minutes, followed by stirring for another 20 minutes. Then, 3.32 g (38.6 x 0.6 mmole) of cuprous bromide was added, followed by stirring at - 40 to -20°C for 1 hour. After addition of a solution of 6.60 g (38.6 mmole) of benzyl bromide in tetrahydrofuran (15 ml), the cooling bath was removed, the reaction solution was stirred at 70°C for 1 hour and cooled with ice, followed by addition of 1 N hydrochloric acid (50 ml) and stirring. The tetrahydrofuran was distilled off under reduced pressure, and isopropyl ether was added to the residue. The insoluble matter was filtered through a bed of Hyflo Supercell, and the isopropyl ether layer was separated out, washed with water and aqueous sodium chloride solution successively, dried (magnesium sulfate) and evaporated. The residual solution was distilled under reduced pressure to give 8.62 g (83%) of 1-benzyl-2,5-dimethoxy-3,4,6-trimethylbenzene, b.p. 140-142°C (0.3 torr) and m.p. 70 to 71°C.",Wurtz-Fittig coupling,[83.0],['COc1c(C)c(C)c(OC)c(Cc2ccccc2)c1C'],"['BrCc1ccccc1', 'COc1c(C)c(C)c(OC)c(Br)c1C']",['[Cu]Br'],"['C1CCOC1', 'C1CCOC1']","['1-benzyl-2,5-dimethoxy-3,4,6-trimethylbenzene']","['1-bromo-2,5-dimethoxy-3,4,6-trimethylbenzene', 'benzyl bromide']",['cuprous bromide'],"['tetrahydrofuran', 'tetrahydrofuran']"
8,[CH3:1][O:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[CH3:9])[CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[O:17][CH3:18])[CH3:19])[CH3:20].[CH3:21][CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]Br>CC(C)(N)C(C)(C)N.CCCCCC.O=P(O)(O)O.C1CCOC1.[CH2]CCC.[Li]>[CH3:19][c:5]1[c:4]([c:3]([c:8]([c:7]([c:6]1[O:17][CH3:18])[CH:10]([CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH3:21])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[CH3:9])[O:2][CH3:1])[CH3:20] |f:3.6.7|,"A 3.1 ml (5.0 mmole) portion of n-butyllithium hexane solution was added dropwise to 1.35 g (5.0 mmole) of 1-benzyl-2,5-dimethoxy-3,4,6-trimethylbenzene and 0.83 ml (5 x 1.1 mmole) of 1,1,2,2-tetramethylethylenediamine dissolved in anhydrous tetrahydrofuran (15 ml), under an atmosphere of argon at 50°C over the period of 5 minutes, followed by stirring at 50 to 55°C for 25 minutes. Then, a solution of 0.83 g (5.0 mmole) of n-hexyl bromide in tetrahydrofuran (5 ml) was added dropwise to the mixed solution over the period of 5 minutes, followed by stirring at 50°C for a further 10 minutes. The reaction solution was cooled with ice and made acid by adding a 10% aqueous phosphoric acid solution, and the product was extracted with isopropyl ether. The organic layer was separated out, washed with aqueous sodium chloride solution, dried (magnesium sulfate) and evaporated. The residual solution was chromatographed on a silica gel column to effect purification (elution with hexane/isopropyl ether) to thereby give 1.37 g (77%) of 7-(2,5-dimethoxy-3,4,6-trimethylphenyl)-7-phenylheptane. Its typical physical properties and nuclear magnetic resonance spectrum data are shown in Table 14.",Aryl alpha alkylation,[77.0],['CCCCCCC(c1ccccc1)c1c(C)c(OC)c(C)c(C)c1OC'],"['CCCCCCBr', 'COc1c(C)c(C)c(OC)c(Cc2ccccc2)c1C']","['CCCCCC.[CH2]CCC.[Li]', 'O=P(O)(O)O']","['C1CCOC1', 'C1CCOC1', 'CC(C)(N)C(C)(C)N']","['7-(2,5-dimethoxy-3,4,6-trimethylphenyl)-7-phenylheptane']","['1-benzyl-2,5-dimethoxy-3,4,6-trimethylbenzene', 'n-hexyl bromide']","['n-butyllithium hexane', 'phosphoric acid']","['1,1,2,2-tetramethylethylenediamine', 'tetrahydrofuran', 'tetrahydrofuran']"
9,[CH3:1][c:2]1[c:3]([c:4]([c:5]([c:6]([c:7]1[O:8][CH3:9])[CH:10]([CH2:11][CH2:12][CH2:13]I)[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[CH3:20])[O:21][CH3:22])[CH3:23].[N:24]#[C:25][Na]>CC(C)OC(C)C.CS(C)=O.O>[CH3:22][O:21][c:4]1[c:3]([c:2]([c:7]([c:6]([c:5]1[CH3:20])[CH:10]([CH2:11][CH2:12][CH2:13][C:25]#[N:24])[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[O:8][CH3:9])[CH3:1])[CH3:23],"To a solution of 4.19 g (5.0 mmole) of 1-iodo-4-(2,5-dimethoxy-3,4,6-trimethylphenyl)-4-phenylbutane in dimethylsulfoxide (30 ml) was added 0.74 g (5 x 3 mmole) of sodium cyanide, and the mixture was stirred at 50°C for 2 hours. The reaction solution was cooled with ice, and isopropyl ether and water were added to it, followed by stirring. The isopropyl ether layer was separated out, washed with aqueous sodium chloride solution, dried (magnesium sulfate) and evaporated. The residual solution was chromatographed on a silica gel column to perform purification (elution with isopropyl ether/hexane) to thereby give 1.65 g (98%) of 5-(2,5-dimethoxy-3,4,6-trimethylphenyl)-5-phenylvaleronitrile. Its typical physical properties and nuclear magnetic resonance spectrum data are shown in Table 14.",Iodo Kolbe nitrile synthesis,[98.0],['COc1c(C)c(C)c(OC)c(C(CCCC#N)c2ccccc2)c1C'],"['COc1c(C)c(C)c(OC)c(C(CCCI)c2ccccc2)c1C', 'N#C[Na]']","['CC(C)OC(C)C', 'O']",['CS(C)=O'],"['5-(2,5-dimethoxy-3,4,6-trimethylphenyl)-5-phenylvaleronitrile']","['1-iodo-4-(2,5-dimethoxy-3,4,6-trimethylphenyl)-4-phenylbutane', 'sodium cyanide']","['isopropyl ether', 'water']",['dimethylsulfoxide']
